,completeness,number_of_cds,type,length
MarDB_Ruegeria_sp_ZGT118,99.57,3848,WGS,4012035
MarDB_GCF_003316635.1_ASM331663v1,99.16,3354,WGS,3515059
MarDB_GCF_003428875.1_ASM342887v1,99.34,3314,WGS,3299170
MarDB_Rubritalea_profundi_strain_SAORIC-165,99.18,3879,WGS,4167407
MarDB_gamma_proteobacterium_HIMB55,96.48,2482,WGS,2736989
MarDB_Halomonas_sp_KO116,100.0,4850,WGS,5095684
MarDB_Maritalea_myrionectae,99.82,3463,WGS,3539531
MarDB_Pseudooceanicola_antarcticus_strain_CGMCC_1_12662,99.07,3932,WGS,4232532
MarDB_Shewanella_sp_Bg11-22,99.84,4347,WGS,5030252
MarDB_Thiobacillus_prosperus,94.37,3611,WGS,3323206
MarDB_Bermanella_sp_47_1433_sub80_T6,80.2,2556,MAG,2540546
MAGsDB_PBVQ01,90.35,1343,MAG,1348634
MAGsDB_PBCW01,76.34,2217,MAG,2268868
MarDB_Cyclobacterium_lianum_strain_CGMCC_16102,100.0,4718,WGS,5675163
MarDB_Pseudoalteromonas_sp_SCSIO_11900,100.0,3382,WGS,3728430
MarDB_Arthrobacter_sp_TB_23,99.39,3405,WGS,3542309
MarDB_Oceanobacter_sp_strain_NORP38,96.31,3558,MAG,3879609
MarDB_Piscicoccus_intestinalis,98.9,4400,WGS,4713214
MarDB_Croceicoccus_sp_Ery9,99.29,3203,WGS,3306531
MarDB_Amylibacter_sp_4G11,98.18,2892,WGS,2982417
MarDB_Pelotomaculum_sp_UBA3102,87.73,1660,MAG,1588490
MarDB_Epsilonproteobacteria_bacterium_strain_SZUA-451,99.57,2873,MAG,2924503
MarDB_GCF_003722075.1_MethanohalophilusRSK,99.51,2053,WGS,1969036
MAGsDB_DGJX01,87.71,1694,MAG,1696643
MarDB_Photobacterium_sp_13-12,99.66,5746,WGS,6484430
MarDB_Photobacterium_sp_J15,98.64,4935,WGS,5684539
MAGsDB_DFDI01,96.54,1969,MAG,1928305
MarDB_Aliiroseovarius_crassostreae_CV919-312,99.6,3707,WGS,3725380
MarRef_Thermococcus_sp_4557,100.0,2118,WGS,2011321
MarDB_Zobellella_sp_102-Py4,100.0,3565,WGS,3936921
MAGsDB_DEAL01,90.31,2009,MAG,2064755
MAGsDB_TARA_ANE_MAG_00006,87.85,1443,MAG,1424655
MAGsDB_NZGS01,89.97,3480,MAG,3481274
MarRef_Shewanella_halifaxensis_HAW-EB4,99.84,4407,WGS,5226918
MarDB_Phyllobacteriaceae_bacterium_Water-Bin73_strain_Water_Bin73,97.25,1851,WGS,1792566
MarDB_Lutibacter_sp_1KV19,97.65,4119,WGS,5115381
MarDB_Litoreibacter_janthinus_strain_DSM_26921,99.7,3741,WGS,3754759
MarDB_Prochlorococcus_sp_AG-436-C14,92.92,1962,SAG,1721468
MarRef_Spiribacter_salinus_M19-40,96.31,1692,WGS,1739488
MarDB_Prochlorococcus_sp_AG-402-K22,86.19,1675,SAG,1522735
MarDB_Geobacillus_thermodenitrificans_strain_OS27,99.44,3457,WGS,3443056
MarDB_Leisingera_sp_ANG-M1,98.29,5082,WGS,5375120
MarDB_Clostridium_sp_JC272,99.3,3535,WGS,3555958
MAGsDB_PAVH01,87.1,2352,MAG,2404839
MAGsDB_PAPS01,87.03,1765,MAG,1982125
MarDB_Bacillus_oceanisediminis_2691,98.91,5846,WGS,5760615
MAGsDB_PAXI01,95.71,1375,MAG,1395102
MarDB_Salinisphaeraceae_bacterium_OUC007,99.64,3389,WGS,3741513
MAGsDB_DBMZ01,79.33,1774,MAG,1735973
MAGsDB_DEBD01,91.27,3262,MAG,3341816
MarDB_Lysinimicrobium_mangrovi_strain_DSM_24868,97.69,2751,WGS,2973202
MarDB_Desulfovibrio_dechloracetivorans_strain_BerOc1,100.0,3690,WGS,4081580
ProGenomes_1458275_PRJNA237115,99.33,3488,WGS,3821615
ProGenomes_529884_PRJNA237851,99.42,1370,WGS,1430433
MarRef_Nocardiopsis_dassonvillei_strain_NOCA502F,100.0,5575,WGS,6585442
ProGenomes_1238424_PRJNA176224,82.33,3539,WGS,3475501
MAGsDB_PBYS01,96.62,4165,MAG,4706579
MarDB_Halothiobacillaceae_bacterium_UBA5861,93.84,3129,MAG,3253070
MarDB_GCA_003650935.1_ASM365093v1,86.63,1504,MAG,1329060
ProGenomes_449447_PRJDA27835,99.89,5605,WGS,5842795
MarDB_Jhaorihella_thermophila_strain_DSM_23413,99.36,3707,WGS,3771953
MAGsDB_PBYT01,75.37,1091,MAG,1106673
MAGsDB_DFMV01,96.84,4003,MAG,3947565
MAGsDB_NYWU01,98.9,2590,MAG,2765177
MAGsDB_DCKW01,79.35,1814,MAG,1612888
MarRef_Gramella_sp_SH35_MMP08724768,99.6,3855,WGS,4380140
MarDB_Vibrio_diazotrophicus,99.66,4276,WGS,4721755
MarDB_bacterium_strain_SZUA-79,88.58,1509,MAG,1539944
MAGsDB_TARA_PSE_MAG_00043,77.78,1000,MAG,921904
MarDB_Georgenia_satyanarayanai_strain_CGMCC_1_10826,100.0,3560,WGS,3906813
MarRef_Sulfurimonas_denitrificans_DSM_1251,99.59,2166,WGS,2201562
MarDB_Bacteroidetes_bacterium_strain_NORP19,98.12,2024,MAG,2390714
MAGsDB_DGPL01,94.49,2633,MAG,2612153
MAGsDB_TARA_ION_MAG_00007,97.7,2875,MAG,3414069
MarDB_Helicobacteraceae_bacterium_strain_SZUA-387,78.24,2268,MAG,2170902
MarRef_Hoeflea_sp_IMCC20628,99.92,4843,WGS,5119814
MarDB_Alphaproteobacteria_bacterium_MarineAlpha9_Bin7,75.34,1758,MAG,1716187
MarRef_Planococcus_donghaensis_strain_DSM_22276,99.34,3162,WGS,3319332
MarDB_Shewanella_algidipiscicola_strain_1Shewanella_algidipiscicola_H1,99.53,3607,WGS,4138380
MarDB_Maricaulis_salignorans_strain_DSM_16077,99.51,2954,WGS,3117769
MAGsDB_PBAL01,95.27,5126,MAG,6081546
MarDB_Chromatiaceae_bacterium_strain_SZUA-76,86.72,2737,MAG,2659612
MarRef_Phaeobacter_inhibens_P59_MMP03294478,99.77,3825,WGS,4103784
MAGsDB_PAIZ01,85.31,1575,MAG,1669566
MAGsDB_DFNR01,93.64,1902,MAG,1773176
MAGsDB_TARA_RED_MAG_00025,86.28,2063,MAG,2082691
MAGsDB_DBHM01,75.65,1562,MAG,1609282
MAGsDB_PANE01,87.17,3048,MAG,3226690
MarDB_GCA_003661505.1_ASM366150v1,81.98,1300,MAG,1027455
MarDB_GCF_003664205.1_ASM366420v1,99.57,4424,WGS,4504665
MarDB_Marinomonas_spartinae_strain_CECT_8886,99.89,4342,WGS,4718224
MarDB_Catenovulum_agarivorans,94.45,4122,WGS,5032677
MarDB_Pseudoalteromonas_luteoviolacea_NCIMB_1944,100.0,5331,WGS,6360108
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-272,92.78,2870,MAG,3264176
MarDB_Kordiimonas_gwangyangensis,100.0,3724,WGS,4082246
MarDB_Afifella_pfennigii,99.4,3738,WGS,3872587
MarDB_Prochlorococcus_sp_AG-418-D13,93.93,1828,SAG,1619825
MarDB_GCA_003712055.1_ASM371205v1,100.0,3173,MAG,3634728
ProGenomes_350688_PRJNA16083,98.58,2980,WGS,3123558
MarDB_GCA_003635315.1_ASM363531v1,88.7,3598,MAG,4329103
MarDB_GCA_003649565.1_ASM364956v1,76.84,1709,MAG,1326210
MarDB_Spirochaeta_thermophila,100.0,2312,WGS,2560223
MarDB_Psychrobacter_sp_Choline-3u-12,99.89,2681,WGS,3178447
MarDB_Maribacter_sp_4G9,99.67,4378,WGS,4601542
MarDB_Pelagibacteraceae_bacterium_AG-404-P08,86.8,1328,SAG,1235579
MAGsDB_TARA_MED_MAG_00087,75.05,1314,MAG,1220351
MarDB_Streptococcus_marimammalium,99.62,1438,WGS,1505445
MarRef_Candidatus_Ruthia_magnifica_str_Cm_Calyptogena_magnifica,94.16,1133,WGS,1160783
MAGsDB_PABB01,97.7,5858,MAG,7415867
MarDB_GCF_003688855.1_ASM368885v1,98.52,3287,WGS,3649759
MarDB_GCF_003345675.1_ASM334567v1,98.88,3123,WGS,3358809
MarDB_Rhodospirillales_bacterium_BBD_1991-14,100.0,5141,MAG,5510342
MarDB_Microbulbifer_pacificus_strain_LD25,99.57,3458,WGS,4271795
MarDB_Thalassobius_maritimus_strain_DSM_28223,99.89,3288,WGS,3284916
MarDB_Bacillus_manliponensis,99.28,4817,WGS,4643114
MarDB_Fictibacillus_enclensis,99.34,4593,WGS,4500902
MarDB_GCA_003491725.1_ASM349172v1,75.77,3471,MAG,3159621
MarRef_Nanohaloarchaea_archaeon_SG9,87.77,1222,MAG,1118575
MAGsDB_TARA_ANW_MAG_00001,99.57,3521,MAG,3686209
MarDB_GCF_003751355.1_ASM375135v1,99.93,4082,WGS,4410815
MarDB_Limnobacter_sp_MED105,99.27,3191,WGS,3390272
MAGsDB_PAPG01,96.1,3187,MAG,3284009
MarDB_Candidatus_Pelagibacter_ubique_SCGC_AAA795-D22,85.89,1125,SAG,1010421
MarRef_Erythrobacter_gangjinensis_strain_JCM_15420,99.25,2657,WGS,2724952
MAGsDB_DLPV01,92.75,3101,MAG,3311713
MarDB_GCF_003688415.1_ASM368841v1,99.44,2438,WGS,2689440
MarDB_Sphingomonadaceae_bacterium_strain_FM6,99.66,3690,WGS,3850965
MarDB_Maribacter_aquivivus_strain_DSM_16478,99.67,3991,WGS,4578397
MarDB_Aquimarina_sp_Aq107_strain_Aquimarina_sp_strain_Aq107,99.62,4732,WGS,5412187
MAGsDB_PARU01,82.48,1234,MAG,1211441
MAGsDB_PBDW01,89.16,1457,MAG,1404973
MAGsDB_DBNK01,95.15,3262,MAG,3488490
MarDB_Endozoicomonas_sp_ab112,99.14,5909,WGS,6453555
MAGsDB_NZYO01,77.72,1231,MAG,1098716
MarDB_GCA_003661865.1_ASM366186v1,81.76,2083,MAG,1562760
MarRef_Cycloclasticus_sp_PY97N,99.94,2323,WGS,2430152
MarDB_Sulfurivirga_caldicuralii_strain_DSM_17737,99.39,1659,WGS,1673284
MarDB_Oceaniglobus_indicus_strain_1-19b,99.9,3538,WGS,3670870
MarDB_Mangrovitalea_sediminis_strain_M11-4,99.14,3964,WGS,4390369
MAGsDB_PAQS01,97.97,2503,MAG,3152361
MarDB_Xuhuaishuia_manganoxidans_DY6-4,99.24,3250,WGS,3453497
MarDB_Candidatus_Aerophobetes_bacterium_strain_NORP81,86.52,1758,MAG,1731681
MarDB_Flavobacteriales_bacterium_strain_NORP67,90.32,2734,MAG,3057691
MarDB_Rhodopseudomonas_palustris_BAL398,98.28,6167,WGS,6123959
MAGsDB_NHCC01,92.44,2402,MAG,2568211
MarDB_Glaciecola_agarilytica_NO2,99.94,4922,WGS,5654925
ProGenomes_243090_PRJNA61589,99.93,5479,WGS,7145576
MarDB_GCA_003649515.1_ASM364951v1,83.82,1740,MAG,1563003
MarDB_GCF_003515775.1_ASM351577v1,99.34,3651,WGS,3785739
MarDB_Prochlorococcus_sp_AG-402-A04,80.21,1430,SAG,1300179
MarDB_Nonomuraea_wenchangensis_strain_CGMCC_45598,99.47,9575,WGS,10051192
MarRef_Halopenitus_persicus_strain_CBA1233,98.22,3006,WGS,3105937
MarDB_Oceanibulbus_indolifex_HEL-45,99.68,4086,WGS,4105525
MAGsDB_DBFF01,81.8,2038,MAG,2168390
MAGsDB_TARA_PSW_MAG_00002,97.89,1829,MAG,1969578
MarDB_Leeuwenhoekiella_sp_Hel_I_48,99.62,3706,WGS,4281275
MAGsDB_DCWH01,85.13,3055,MAG,3314426
MarDB_Bacillus_sp_MKU004,99.43,4494,WGS,4500627
MAGsDB_PAPB01,86.81,2189,MAG,2468286
MarDB_Streptomyces_sp_SM12,94.32,5979,WGS,6475136
ProGenomes_468556_PRJNA185240,99.58,4010,WGS,4225368
MarRef_bacterium_symbiont_of_Cryptopsaras_couesii,91.33,1683,MAG,2143556
MarDB_Pseudoalteromonas_sp_520P1_No._423,100.0,4855,WGS,5387614
MarDB_Desulfovibrio_fructosovorans_JJ,100.0,4151,WGS,4673596
MarDB_GCF_003326805.1_ASM332680v1,100.0,4018,WGS,4323815
MarDB_GCA_003503995.1_ASM350399v1,75.27,1824,MAG,1726566
MAGsDB_TARA_RED_MAG_00033,94.94,1491,MAG,1522479
MAGsDB_PAIV01,93.41,1511,MAG,1625503
MAGsDB_DIHU01,96.42,3157,MAG,3749609
ProGenomes_572547_PRJNA32587,100.0,1914,WGS,1980592
MAGsDB_NHBY01,93.3,2353,MAG,2074877
MarRef_Helicobacter_sp_MIT_01-6242,95.42,1465,WGS,1594791
MarDB_Crocinitomix_sp_SM1701,99.82,3541,WGS,4042952
MarRef_Vibrio_rotiferianus_B64D1,99.73,4657,WGS,5277859
MarDB_GCA_003526745.1_ASM352674v1,85.47,4407,MAG,4437449
MarDB_Nocardioides_sp_REDSEA-S43_B3,92.27,3721,MAG,3683770
MarDB_Sphingobium_sp_TCM1,99.32,4915,WGS,5154798
MAGsDB_PBJL01,94.92,2342,MAG,2484299
MarDB_Euryarchaeota_archaeon_strain_Cayman_51,84.67,1279,MAG,1479542
MarDB_GCA_003533545.1_ASM353354v1,77.36,3130,MAG,3236419
MarDB_Gammaproteobacteria_bacterium_45_16_T64,96.79,5610,MAG,6486279
MarRef_Thermococcus_sp_CL1,100.0,2074,WGS,1950314
MarRef_Geoglobus_acetivorans_SBH6,99.84,2232,WGS,1860816
MAGsDB_DEXG01,91.48,2948,MAG,3403786
MarDB_PVC_group_bacterium_ex_Bugula_neritina_AB1,97.67,1478,MAG,1907666
MAGsDB_DGAU01,91.77,1698,MAG,1843256
MarDB_GCA_003641695.1_ASM364169v1,92.51,2673,MAG,2578246
MarDB_Thermoplasmatales_archaeon_SG8-52-3,85.2,1918,MAG,1909405
MarDB_Vibrio_proteolyticus,99.55,4391,WGS,4745540
MAGsDB_DLTP01,79.41,1239,MAG,1168336
MarRef_Marinobacter_sp_Hb8,100.0,3803,WGS,4121006
MarDB_bacterium_BMS3Abin10,92.73,2575,MAG,2486350
MarDB_Algoriphagus_sp_XAY3209,100.0,3969,WGS,4492416
MAGsDB_TARA_PON_MAG_00039,77.84,2349,MAG,2282633
MarRef_Hyphomonas_sp_Mor2,98.27,3475,WGS,3628092
MarDB_Brachybacterium_sp_sponge,99.42,3447,WGS,3922504
MAGsDB_NHBL01,96.7,1409,MAG,1479390
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-75,89.26,2997,MAG,2735232
MarDB_Streptobacillus_sp_AVG2115,100.0,1867,WGS,1768581
MAGsDB_TARA_RED_MAG_00035,89.01,1307,MAG,1182977
MAGsDB_PAZC01,98.31,3188,MAG,3920992
MAGsDB_PBYF01,98.25,4140,MAG,4438399
MarDB_Marinobacter_salexigens_strain_HJR7,100.0,3474,WGS,3820421
MarRef_Rhodococcus_sp_WMMA185,99.28,4007,WGS,4444449
MarDB_Pedobacter_sp_V48,99.04,5744,WGS,6459991
MAGsDB_NHDO01,83.99,2570,MAG,2602621
MarDB_Flaviramulus_ichthyoenteri,99.67,3436,WGS,3953231
MarDB_Phaeodactylibacter_xiamenensis_KD52,100.0,6171,WGS,7868779
MarDB_Rhodobacteraceae_bacterium_HIMB11,99.09,3187,WGS,3098748
MAGsDB_PAZB01,83.08,2710,MAG,2669531
MarDB_Litorilinea_aerophila_PRI-413,93.55,6622,WGS,5812526
MAGsDB_NYTG01,84.2,1993,MAG,2059111
MarDB_Ornithinibacillus_californiensis,99.34,4077,WGS,3979838
MarDB_archaeon_BMS3Bbin15,97.2,2081,MAG,1738368
MAGsDB_PAQL01,98.86,3037,MAG,3678879
MAGsDB_DFBR01,83.47,2506,MAG,2297743
MarDB_Paracoccus_sp_N5,99.39,4135,WGS,4354542
MarDB_Myxococcales_bacterium_SG8_38_1,80.32,3356,WGS,3623661
MarDB_Saccharospirillum_sp_MSK14-1,99.77,3554,WGS,3750085
MarDB_Enterobacter_kobei_strain_BH-18,99.11,4460,WGS,4669181
MarDB_GCA_003523885.1_ASM352388v1,89.03,2330,MAG,2235213
MarDB_Streptomyces_sp_CNZ279,97.0,7192,WGS,7971722
MarDB_Glaciecola_arctica_BSs20135,99.33,5173,WGS,5964457
MarDB_GCF_003318175.1_ASM331817v1,98.89,3856,WGS,4360644
MAGsDB_DBAG01,79.92,2753,MAG,2741151
MarDB_Vibrio_mexicanus,96.54,5205,WGS,4811406
MarDB_Grimontia_marina_CECT_8713,100.0,5319,WGS,5690704
MAGsDB_DFBH01,97.73,1536,MAG,1513879
MarDB_GCF_003665885.1_ASM366588v1,99.93,4447,WGS,4191453
MarDB_GCF_003590335.1_ASM359033v1,99.89,4429,WGS,5236796
MAGsDB_TARA_PSW_MAG_00060,83.55,2417,MAG,2442486
MAGsDB_TARA_PSW_MAG_00006,90.17,1578,MAG,1608685
MarDB_GCF_003576345.1_ASM357634v1,99.35,3273,WGS,3327924
ProGenomes_1121123_PRJNA185350,100.0,2589,WGS,2577573
MarDB_Microbulbifer_sp_ZGT114,99.57,3156,WGS,3643021
MarDB_Prochlorococcus_sp_AG-363-C20,90.22,1876,SAG,1750072
MarDB_Prochlorococcus_sp_AG-409-A10,86.68,1721,SAG,1583466
MarDB_Colwellia_sp_TT2012,99.33,3979,WGS,4420601
MarDB_Rhodobacter_vinaykumarii_DSM_18714,99.39,3261,WGS,3481684
MarDB_GCA_003331785.1_ASM333178v1,90.76,2125,MAG,1898481
MarDB_unknown_bacteria_WH,99.83,2672,WGS,2702378
MAGsDB_NZBC01,75.31,4663,MAG,5822363
MAGsDB_PBGY01,85.09,1535,MAG,1524246
MarDB_Pseudomonas_prosekii_strain_P2673,100.0,5428,WGS,6112380
MarDB_Pseudoalteromonas_sp_3D05,100.0,3935,WGS,4472078
MAGsDB_DKPW01,80.49,1107,MAG,1094305
MAGsDB_PBHA01,79.21,1239,MAG,1193812
MarDB_GCF_003385415.1_ASM338541v1,100.0,4029,WGS,4319169
MarDB_Salegentibacter_salinarum_DSM_23400,98.1,3738,WGS,4310031
MAGsDB_PBYB01,97.83,8602,MAG,9279585
MarDB_Neptuniibacter_caesariensis_MED92,99.17,3644,WGS,3924756
MAGsDB_DCQE01,90.19,2008,MAG,1917796
MarRef_Erythrobacter_sp_s21-N3,99.14,3171,WGS,3226360
ProGenomes_1111728_PRJNA163033,100.0,5041,WGS,5660097
MarRef_Pelagibaca_abyssi_JLT2014,99.6,5087,WGS,5259072
MarRef_Methanococcus_maripaludis_DSM_2067_MMP08466362,99.52,1819,WGS,1714918
MarDB_Gordonia_sp_SGD-V-85,99.82,4940,WGS,5439080
ProGenomes_795955_PRJNA68173,98.59,2552,WGS,2812133
MAGsDB_PAUF01,92.26,1353,MAG,1554143
MarDB_Proteobacteria_bacterium_strain_DOLZORAL124_48_12,89.9,2355,MAG,2589955
MarRef_Pseudorhodoplanes_sinuspersici_RIPI110,99.37,5795,WGS,5971615
MAGsDB_DFBE01,85.31,1321,MAG,1162272
MAGsDB_PBME01,84.83,943,MAG,979180
MarDB_Prochlorococcus_sp_scB245a_520K10,92.44,1840,SAG,1453628
MarDB_Microbulbifer_yueqingensis_strain_CGMCC_110658,99.14,3185,WGS,3664855
MAGsDB_DEIH01,76.05,3144,MAG,3093659
MarDB_Saccharicrinis_sp_UBA6048,93.98,3585,MAG,4190897
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-146,80.89,3036,MAG,3083539
MarDB_alpha_proteobacterium_3107,84.56,2081,WGS,2168838
MarDB_GCF_003260275.1_ASM326027v1,98.82,3380,WGS,3646169
MarDB_GCA_003660485.1_ASM366048v1,75.04,1738,MAG,1349509
MarDB_Halomonas_sp_PBN3,99.95,3477,WGS,3668537
MarDB_Marinobacter_sp_ES1,100.0,3329,WGS,3559740
MarDB_Pseudonocardia_sp_CNS-004,85.95,10943,WGS,9203095
MarDB_Exiguobacterium_sp_GIC31,98.68,3044,WGS,2974643
MarDB_Alphaproteobacteria_bacterium_MarineAlpha9_Bin4,93.34,1759,MAG,1576548
MarDB_Zobellia_uliginosa_MAR_2009_138,99.67,4371,WGS,5358003
MarRef_Cohaesibacter_sp_ES_047,99.2,4760,WGS,5110332
MarDB_Caloranaerobacter_ferrireducens_strain_DY22619,98.6,2439,WGS,2451940
MarDB_Bacteroidetes_bacterium_strain_SZUA-365,95.06,3282,MAG,4108299
MAGsDB_PAXJ01,96.88,3518,MAG,3778761
MAGsDB_PBFD01,94.44,1788,MAG,2021477
ProGenomes_1353529_PRJNA210325,93.01,3464,WGS,3650096
MarDB_bacterium_DOLZORAL124_38_8,75.47,830,MAG,909522
MarRef_Methanosarcina_acetivorans_C2A,99.84,4884,WGS,5751493
MarDB_Candidatus_Magnetomorum_sp_HK1,96.94,11123,WGS,14290419
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-229,85.81,2901,MAG,3092665
MAGsDB_DEIQ01,88.22,2089,MAG,2247404
MarDB_GCF_003335675.1_ASM333567v1,99.34,2544,WGS,2811825
MAGsDB_DFOV01,87.53,3754,MAG,4012724
MAGsDB_NHEH01,79.67,1638,MAG,1786569
MarDB_Epilithonimonas_sp_J200,100.0,3939,WGS,4110773
MarDB_Pelagibacteraceae_bacterium_AG-470-G21,84.34,1190,SAG,1113470
MarDB_Methanolacinia_paynteri,98.37,2774,WGS,2791704
MarRef_Candidatus_Thioglobus_singularis,98.01,1693,WGS,1689404
MarDB_Candidatus_Heimdallarchaeota_archaeon_LC_3,91.59,5526,MAG,5684039
MAGsDB_DBNH01,90.72,4202,MAG,4594038
MarDB_Marinomonas_aquimarina_strain_CECT_5080,100.0,3388,WGS,3659630
MarDB_Litoreibacter_ponti_strain_DSM_100977,99.7,3856,WGS,3885483
MarDB_Marinomonas_sp_ef1,100.0,4362,WGS,4728384
MarDB_uncultured_Desulfofustis_sp_PBSRB1,99.04,3728,MAG,3683434
MarDB_Bauldia_litoralis_strain_ATCC_35022,97.05,4772,WGS,5094549
MarDB_Salegentibacter_echinorum_strain_DSM_24579,99.43,3484,WGS,3967304
MarDB_GCF_003725745.1_ASM372574v1,95.11,6619,WGS,7054598
MarDB_Cellvibrionaceae_bacterium_AOL6,98.76,3544,WGS,4129294
MarDB_Halomonas_daqiaonensis_strain_CGMCC_19150,100.0,3449,WGS,3716434
MarRef_Granulosicoccus_antarcticus_IMCC_3135,95.25,6776,WGS,7783862
ProGenomes_1265502_PRJNA182454,100.0,3415,WGS,3532116
MarDB_Alphaproteobacteria_bacterium_strain_SZUA-351,96.02,2429,MAG,2685285
MAGsDB_TARA_ANW_MAG_00036,94.48,3305,MAG,3386422
MarDB_Devosia_sp_CM5-1,99.52,4405,WGS,4488200
MarDB_Jejuia_pallidilutea_strain_DSM_21165,99.34,3458,WGS,4110363
MarDB_Amorphus_coralli_Zeevi,98.1,3895,WGS,4317546
MarDB_Pelagibacteraceae_bacterium_AG-404-P07,76.07,1027,SAG,937395
MarDB_Streptomyces_griseoaurantiacus_M045,100.0,6742,WGS,7712378
MarDB_Marinobacter_sp_ES_048,100.0,3765,WGS,4063301
MAGsDB_DCWN01,95.49,3232,MAG,3631834
MarDB_Planctomycetales_bacterium_strain_SZUA-211,79.82,4016,MAG,4305106
MarDB_Pararhodobacter_sp_CIC4N-9,98.99,4331,WGS,4486134
MarDB_Salinicoccus_qingdaonensis_strain_CGMCC_18895,99.43,2730,WGS,2633621
MarDB_GCA_003331305.1_ASM333130v1,87.47,1384,MAG,1463002
MarDB_Lactobacillus_plantarum_strain_MHO25,99.07,3168,WGS,3348098
MAGsDB_PCCK01,87.28,2128,MAG,2351321
MarDB_Prochlorococcus_sp_AG-388-J02,98.37,2011,SAG,1721047
MarRef_Synechococcus_sp_RCC307,99.64,2540,WGS,2224915
MarDB_Mesonia_phycicola_strain_DSM_21425,99.62,2993,WGS,3280716
MAGsDB_PBTH01,79.4,1438,MAG,1733199
MarDB_Amphritea_japonica_ATCC_BAA-1530,99.14,3493,WGS,3799526
MarDB_GCF_003633955.1_ASM363395v1,100.0,3601,WGS,3853825
MarDB_Methanosarcina_sp_1_H_A_2_2,99.84,3233,WGS,3870730
MAGsDB_NYTH01,97.01,3401,MAG,3724617
MarDB_GCF_003584015.1_ASM358401v1,99.25,4145,WGS,4380877
MAGsDB_DDIM01,90.63,1825,MAG,1886382
MarDB_archaeon_SCG-AAA382B04,94.58,1649,SAG,1422753
MarDB_Sphingomonas_sp_SKA58,99.6,3778,WGS,3955738
MAGsDB_NZIV01,95.6,2642,MAG,2909735
MarRef_Shewanella_marisflavi_EP1,99.76,3723,WGS,4321452
MarDB_Arthrobacter_sp_Hiyo1,79.89,5590,WGS,4339101
MAGsDB_PAAG01,100.0,5937,MAG,7015219
MarRef_Rhodococcus_sp_B7740,99.5,5031,WGS,5341558
MarRef_Methanotorris_igneus_Kol_5,99.52,1822,WGS,1854198
MarRef_Pyrococcus_sp_ST04,100.0,1831,WGS,1736886
MarDB_Pseudoalteromonas_distincta,100.0,3984,WGS,4532749
MarDB_Aequorivita_sp_strain_NORP10,98.49,3028,MAG,3143232
MarDB_Ulvibacter_sp_MAR_2010_11,98.86,2765,WGS,3033586
MarDB_Porticoccus_sp_strain_NORP89,84.69,2135,MAG,2256162
MarDB_GCF_003815035.1_ASM381503v1,95.01,1780,WGS,1796177
MarDB_Bacillus_sp_G3,99.23,5487,WGS,5433653
MarDB_Synechococcus_sp_RS9916,99.73,2811,WGS,2664874
MarDB_Roseivivax_isoporae,98.49,4751,WGS,4898229
MarDB_GCA_003650285.1_ASM365028v1,85.71,1011,MAG,952935
MarDB_Grimontia_sp_CECT_9029,100.0,5058,WGS,5607487
MarDB_Silicibacter_sp_TrichCH4B,99.08,4497,WGS,4689085
MarDB_Proteus_sp_H24,99.46,3483,WGS,3864150
MarDB_Endozoicomonas_elysicola,98.98,4629,WGS,5545669
MarRef_Pseudomonas_sp_MT-1,100.0,4513,WGS,4861259
MarDB_GCF_003326675.1_ASM332667v1,100.0,4447,WGS,4887910
MAGsDB_NZZM01,85.66,1649,MAG,1767573
MAGsDB_DAVY01,80.13,1201,MAG,1352658
MarDB_Algoriphagus_aquimarinus_strain_DSM_23399,100.0,4408,WGS,5119528
MAGsDB_PAUN01,86.32,3445,MAG,3834755
MarDB_Campylobacter_sp_17S00004-5,96.65,1866,WGS,1869677
MAGsDB_TARA_RED_MAG_00029,80.14,1938,MAG,1969490
MarDB_Pseudoalteromonas_sp_R3,99.89,4986,WGS,5839683
MarDB_Kiritimatiellales_bacterium_strain_SZUA-380,94.76,2567,MAG,2997214
MarDB_Flexithrix_dorotheae,99.4,7391,WGS,9536822
MarDB_alpha_proteobacterium_BAL199,99.35,5956,WGS,6102702
MarDB_Oceanihabitans_sp_LYZ1037,99.67,2937,WGS,3192114
MarRef_Prochlorococcus_marinus_AS9601,99.64,1891,WGS,1669887
MarDB_Rhodobacteraceae_bacterium_MED-G08,89.71,2191,MAG,2208373
MarDB_GCA_003648065.1_ASM364806v1,81.19,3776,MAG,3401618
MarDB_Flavobacterium_succinicans_strain_DD5b,90.81,2834,WGS,3314517
MarDB_Erythrobacter_sp_JL475,99.54,3111,WGS,3263325
MAGsDB_DLRY01,96.96,2994,MAG,3708531
MAGsDB_TARA_ANE_MAG_00057,78.87,2553,MAG,2370711
MarDB_Gilvimarinus_chinensis,100.0,3620,WGS,4068867
MarDB_Cenarchaeum_symbiosum_A,99.03,1923,MAG,2045087
MAGsDB_DEOR01,79.26,1414,MAG,1344293
MarDB_Marinobacter_lipolyticus_BF04_CF-4,100.0,3759,WGS,3633798
MarDB_Psychromonas_sp_psych-6C06,100.0,3243,WGS,3719886
MarDB_Pseudomonas_alcaligenes_OT_69,99.03,6450,WGS,7029684
